ip,app,device,os,channel,click_time,attributed_time,is_attributed
90855,12,1,19,326,2017-11-08 11:09:29,,0
93276,13,1,20,477,2017-11-07 10:35:17,,0
57723,14,1,19,379,2017-11-08 01:19:28,,0
126461,13,1,13,400,2017-11-07 14:47:17,,0
43308,3,1,13,115,2017-11-07 09:46:31,,0
72951,56,1,32,406,2017-11-09 14:59:09,,0
95995,8,1,19,145,2017-11-09 06:22:23,,0
4102,21,1,13,128,2017-11-07 03:50:55,,0
49602,2,1,19,237,2017-11-07 16:50:38,,0
95766,9,1,13,442,2017-11-09 10:11:02,,0
300283,12,1,13,409,2017-11-09 13:49:30,,0
5348,15,1,3,111,2017-11-06 23:11:21,,0
148540,12,2,9,178,2017-11-09 09:34:31,,0
21439,27,1,41,153,2017-11-07 11:44:52,,0
24860,3,1,19,280,2017-11-08 09:27:14,,0
36213,3,2,19,371,2017-11-08 00:03:50,,0
37001,13,1,19,469,2017-11-07 10:11:46,,0
15898,190,1,19,101,2017-11-08 14:35:00,,0
96897,12,1,19,178,2017-11-08 13:17:03,,0
86452,9,1,27,232,2017-11-09 02:16:36,,0
121472,9,1,8,244,2017-11-08 11:52:14,,0
98912,2,1,19,435,2017-11-09 09:15:24,,0
191863,3,1,19,211,2017-11-08 11:39:48,,0
36434,12,1,8,340,2017-11-09 01:48:26,,0
277445,2,1,6,477,2017-11-08 09:37:38,,0
16904,3,1,13,130,2017-11-09 04:45:22,,0
114314,15,1,25,245,2017-11-07 20:20:43,,0
102359,9,1,13,466,2017-11-09 08:26:52,,0
38695,14,1,13,489,2017-11-09 06:08:48,,0
233951,12,1,17,178,2017-11-08 02:30:38,,0
139280,3,1,35,480,2017-11-06 22:39:20,,0
130613,12,1,39,259,2017-11-06 16:55:31,,0
97490,18,1,19,439,2017-11-07 03:36:26,,0
82755,3,1,12,182,2017-11-08 02:19:03,,0
303828,56,1,19,406,2017-11-09 13:04:21,,0
112476,15,1,27,245,2017-11-07 21:30:21,,0
92873,6,1,13,459,2017-11-07 05:45:58,,0
36213,2,1,13,205,2017-11-08 09:57:17,,0
69372,9,1,13,215,2017-11-08 15:15:17,,0
259470,2,1,3,236,2017-11-08 08:24:56,,0
83366,25,1,17,259,2017-11-09 02:31:42,,0
29678,14,1,17,439,2017-11-08 17:29:16,,0
11245,11,1,15,469,2017-11-07 06:38:21,,0
75683,10,1,19,317,2017-11-09 13:35:39,,0
55868,3,1,13,442,2017-11-09 14:01:39,,0
44725,18,2,3,449,2017-11-09 15:22:19,,0
72951,2,2,32,477,2017-11-09 15:33:34,,0
65285,15,1,10,245,2017-11-08 15:02:04,,0
100275,3,1,8,280,2017-11-08 14:10:17,,0
84812,18,1,8,449,2017-11-08 02:34:18,,0
212126,3,1,20,280,2017-11-08 09:45:55,,0
93794,21,1,26,128,2017-11-08 12:00:26,,0
32457,32,1,16,376,2017-11-07 07:24:02,,0
32310,3,1,19,280,2017-11-09 04:12:49,,0
113354,4,1,19,101,2017-11-08 02:49:22,,0
49602,21,2,9,232,2017-11-08 23:33:46,,0
95370,18,1,13,134,2017-11-08 11:25:48,,0
38910,3,1,13,424,2017-11-07 08:14:25,,0
118647,14,1,37,134,2017-11-09 07:00:12,,0
55649,15,2,9,140,2017-11-07 12:36:47,,0
83206,1,1,13,134,2017-11-09 07:14:55,,0
92376,18,3032,607,107,2017-11-07 06:48:33,,0
146491,18,1,16,439,2017-11-07 01:57:32,,0
48893,8,1,13,140,2017-11-08 15:09:36,,0
5348,12,1,36,245,2017-11-08 01:46:12,,0
135532,13,1,37,400,2017-11-08 13:00:10,,0
106293,11,1,13,487,2017-11-08 07:44:01,,0
285581,12,1,10,178,2017-11-09 11:39:37,,0
36934,12,1,9,219,2017-11-09 04:47:50,,0
105654,6,1,19,459,2017-11-07 08:01:39,,0
160309,21,1,22,232,2017-11-09 11:25:05,,0
182049,12,1,17,178,2017-11-07 02:30:00,,0
66898,3,1,8,137,2017-11-09 15:15:59,,0
179568,1,1,13,150,2017-11-07 01:08:28,,0
35129,18,1,46,107,2017-11-09 03:33:13,,0
89557,12,1,13,328,2017-11-07 06:24:05,,0
100929,15,2,22,3,2017-11-08 12:36:20,,0
49383,15,2,13,3,2017-11-09 13:32:57,,0
158006,12,1,3,178,2017-11-07 11:21:27,,0
111913,9,1,13,107,2017-11-08 23:15:08,,0
5314,12,1,3,328,2017-11-09 13:35:49,,0
58877,14,1,13,360,2017-11-08 00:56:41,,0
144595,2,1,14,237,2017-11-09 06:45:54,,0
118190,15,1,19,480,2017-11-08 02:11:01,,0
73487,8,1,13,145,2017-11-07 21:25:19,,0
106434,2,1,19,469,2017-11-08 03:59:45,,0
91418,22,1,12,116,2017-11-08 09:13:19,,0
23356,18,1,6,134,2017-11-07 20:21:26,,0
11967,3,1,26,280,2017-11-08 12:08:10,,0
106279,12,1,19,259,2017-11-09 13:56:15,,0
17095,3,1,18,442,2017-11-09 09:19:02,,0
90586,13,1,19,477,2017-11-07 21:14:49,,0
191084,3,1,13,280,2017-11-08 22:23:54,,0
100971,18,1,18,107,2017-11-07 15:34:50,,0
48240,3,1,19,280,2017-11-07 02:39:53,,0
48282,7,1,3,101,2017-11-09 09:24:46,,0
563,9,1,18,466,2017-11-06 23:24:36,,0
119289,9,1,6,107,2017-11-09 10:18:25,,0
201801,10,1,19,377,2017-11-08 14:47:05,,0
18071,15,1,14,245,2017-11-08 04:38:38,,0
11036,2,1,6,236,2017-11-07 05:53:24,,0
355322,13,1,17,400,2017-11-09 00:13:59,,0
200289,27,1,13,153,2017-11-07 02:50:06,,0
5128,3,1,19,173,2017-11-09 11:53:31,,0
25097,9,2,9,232,2017-11-07 12:28:14,,0
191663,12,1,34,409,2017-11-07 01:06:26,,0
304239,15,1,13,430,2017-11-09 13:37:43,,0
52010,24,1,19,178,2017-11-06 20:22:26,,0
100071,12,1,40,328,2017-11-08 02:15:15,,0
71348,18,1,22,107,2017-11-08 09:35:28,,0
103913,2,1,9,18,2017-11-07 09:23:07,,0
100806,3,1,13,424,2017-11-09 06:27:12,,0
11716,2,1,20,377,2017-11-08 13:07:55,,0
72189,3,1,22,280,2017-11-09 01:38:01,,0
20676,9,1,13,466,2017-11-07 13:14:12,,0
42176,15,1,18,412,2017-11-08 13:53:46,,0
178873,2,1,8,205,2017-11-06 20:21:05,,0
118315,3,1,18,137,2017-11-07 16:12:28,,0
54645,15,1,19,245,2017-11-07 13:14:00,,0
40379,25,1,20,259,2017-11-07 16:52:07,,0
36150,2,1,13,205,2017-11-08 13:05:53,,0
123739,9,1,13,445,2017-11-08 23:45:33,,0
77730,12,1,19,140,2017-11-08 13:32:44,,0
114276,15,1,15,480,2017-11-07 09:00:37,,0
203156,3,1,9,409,2017-11-07 01:57:19,,0
29438,3,1,13,280,2017-11-08 05:54:38,,0
14867,12,1,22,265,2017-11-09 03:47:33,,0
123813,15,1,13,386,2017-11-09 10:21:32,,0
32619,12,1,13,178,2017-11-09 00:15:32,,0
33156,9,1,19,442,2017-11-07 02:13:51,,0
73516,3,1,25,153,2017-11-09 00:11:00,,0
42627,2,1,9,477,2017-11-06 17:01:32,,0
322156,9,2,79,445,2017-11-09 09:45:13,,0
82646,12,1,19,424,2017-11-08 08:00:21,,0
130448,2,1,13,122,2017-11-07 04:00:40,,0
93592,18,1,37,107,2017-11-09 13:35:25,,0
129623,15,1,19,480,2017-11-09 12:02:03,,0
18546,2,1,13,236,2017-11-09 02:35:19,,0
69759,1,1,19,134,2017-11-07 23:28:59,,0
74442,21,1,19,232,2017-11-08 04:19:18,,0
46549,9,1,13,127,2017-11-08 12:18:06,,0
146047,18,1,10,107,2017-11-08 04:11:52,,0
107395,3,1,13,442,2017-11-09 15:16:52,,0
64936,27,1,32,122,2017-11-08 04:39:23,,0
18466,15,1,19,245,2017-11-08 01:14:46,,0
65231,14,1,13,379,2017-11-07 09:06:57,,0
5648,3,1,19,173,2017-11-09 10:12:07,,0
75923,1,1,14,349,2017-11-09 09:36:24,,0
110042,10,1,1,317,2017-11-07 02:25:18,,0
11473,23,1,19,153,2017-11-09 05:18:40,,0
10833,14,1,26,401,2017-11-07 02:27:14,,0
115445,12,1,15,265,2017-11-08 18:37:54,,0
27634,15,1,19,265,2017-11-08 04:06:39,,0
170558,3,1,19,442,2017-11-07 12:08:39,,0
95246,7,1,17,101,2017-11-09 15:12:19,,0
270805,13,1,17,469,2017-11-08 20:57:27,,0
39320,12,1,8,140,2017-11-09 01:11:18,,0
5348,9,2,2,107,2017-11-09 12:12:13,,0
149666,12,1,13,340,2017-11-09 04:19:09,,0
42463,18,1,23,107,2017-11-08 13:29:08,,0
114220,12,1,19,178,2017-11-08 05:11:30,,0
100066,3,1,19,452,2017-11-09 05:59:26,,0
131418,15,1,18,245,2017-11-07 17:13:44,,0
8660,68,3543,748,347,2017-11-08 14:28:21,,0
133891,3,1,58,424,2017-11-07 04:38:26,,0
95020,15,1,17,245,2017-11-08 01:56:21,,0
49520,18,1,19,107,2017-11-06 19:49:05,,0
55149,3,1,22,280,2017-11-08 11:37:17,,0
208090,2,2,9,243,2017-11-07 07:31:44,,0
88071,2,1,18,477,2017-11-08 03:45:21,,0
125751,3,1,20,205,2017-11-08 05:19:54,,0
104512,15,1,19,265,2017-11-07 04:34:18,,0
95982,9,1,8,244,2017-11-08 02:29:00,,0
70576,3,1,41,280,2017-11-07 04:15:32,,0
23522,1,1,1,178,2017-11-07 00:01:49,,0
44266,15,1,22,386,2017-11-08 00:44:44,,0
7690,9,1,13,466,2017-11-08 04:40:17,,0
54416,2,1,18,219,2017-11-07 14:03:13,,0
28089,3,1,19,280,2017-11-08 13:46:55,,0
191416,9,1,13,215,2017-11-07 00:03:00,,0
6452,15,1,10,111,2017-11-07 08:04:17,,0
27151,24,1,13,105,2017-11-08 17:10:33,,0
106738,3,1,19,280,2017-11-09 06:20:05,,0
104791,10,1,22,317,2017-11-07 15:36:54,,0
82358,3,1,19,211,2017-11-08 14:07:52,,0
174074,21,1,19,232,2017-11-08 17:04:59,,0
1025,3,1,18,489,2017-11-09 05:59:10,,0
67197,2,1,13,237,2017-11-08 05:18:08,,0
125070,3,1,13,280,2017-11-08 03:27:53,,0
45327,2,1,19,205,2017-11-06 23:09:12,,0
98529,18,1,15,107,2017-11-08 07:21:10,,0
7043,1,1,35,178,2017-11-07 05:18:44,,0
52955,12,1,20,178,2017-11-07 13:04:26,,0
30151,13,1,17,477,2017-11-07 12:02:49,,0
56449,3,2,8,137,2017-11-08 07:14:09,,0
26315,3,1,22,280,2017-11-08 07:30:09,,0
36773,12,1,13,178,2017-11-09 05:52:55,,0
20537,10,1,13,377,2017-11-07 18:11:10,,0
75574,2,1,13,122,2017-11-07 17:10:34,,0
41285,15,1,18,245,2017-11-08 17:45:27,,0
101243,3,1,13,280,2017-11-08 08:21:49,,0
203177,2,1,19,364,2017-11-07 02:07:49,,0
39238,18,1,19,107,2017-11-09 04:31:10,,0
257652,13,1,37,400,2017-11-08 06:56:12,,0
128750,14,1,13,401,2017-11-07 05:42:54,,0
28076,9,1,17,244,2017-11-07 11:57:50,,0
363247,21,1,11,232,2017-11-09 11:14:50,,0
58614,3,1,13,115,2017-11-08 08:37:24,,0
56234,2,1,8,435,2017-11-09 11:10:54,,0
112265,18,1,19,121,2017-11-08 15:08:12,,0
23776,3,1,22,442,2017-11-07 05:18:49,,0
114220,18,1,17,439,2017-11-09 09:48:11,,0
77772,26,1,19,121,2017-11-09 02:58:07,,0
131672,18,1,20,121,2017-11-07 19:25:13,,0
140192,3,1,22,280,2017-11-07 12:52:45,,0
11083,14,1,19,123,2017-11-08 06:20:31,,0
123699,18,1,22,134,2017-11-09 14:48:10,,0
188041,3,1,28,280,2017-11-07 04:09:20,,0
110797,12,1,6,265,2017-11-08 05:43:16,,0
173542,12,1,22,409,2017-11-07 06:38:26,,0
32391,3,1,13,19,2017-11-07 15:21:27,,0
167607,3,1,12,489,2017-11-09 04:14:37,,0
307334,2,1,3,236,2017-11-09 00:44:00,,0
76944,9,1,19,215,2017-11-07 09:55:25,,0
25009,20,1,13,488,2017-11-09 15:40:08,,0
18596,2,1,13,243,2017-11-09 06:31:14,,0
196329,2,1,14,236,2017-11-09 03:20:18,,0
180856,3,1,13,280,2017-11-07 05:28:02,,0
7471,3,1,8,130,2017-11-09 11:48:26,,0
49538,9,1,15,442,2017-11-07 04:00:07,,0
109640,12,1,6,259,2017-11-08 13:13:34,,0
5348,3,1,13,135,2017-11-08 05:47:55,,0
81896,12,1,19,259,2017-11-09 13:31:44,,0
99862,9,1,19,334,2017-11-07 23:00:30,,0
174280,19,0,38,343,2017-11-07 14:23:32,,0
12524,2,2,9,205,2017-11-07 10:17:41,,0
79881,9,1,6,107,2017-11-09 09:36:58,,0
120844,2,1,48,477,2017-11-07 16:32:57,,0
87231,3,1,18,409,2017-11-09 01:37:43,,0
100203,3,1,13,19,2017-11-09 10:46:49,,0
111025,2,1,16,122,2017-11-09 14:52:31,,0
91767,15,1,47,315,2017-11-09 06:36:29,,0
89005,14,1,17,480,2017-11-08 23:10:46,,0
32611,26,1,17,266,2017-11-09 07:05:09,,0
30025,15,1,32,386,2017-11-09 06:21:25,,0
191865,2,1,13,477,2017-11-09 05:34:19,,0
102005,14,1,22,439,2017-11-09 13:08:10,,0
75843,3,1,19,442,2017-11-07 02:41:34,,0
44349,2,1,13,477,2017-11-07 16:17:28,,0
223079,9,1,13,489,2017-11-08 03:15:33,,0
114276,3,1,13,424,2017-11-07 11:01:13,,0
101474,1,1,22,134,2017-11-08 15:07:11,,0
64236,3,1,3,280,2017-11-08 02:30:32,,0
17321,3,1,13,317,2017-11-08 02:12:21,,0
40245,23,1,13,153,2017-11-08 06:51:49,,0
47273,18,1,9,107,2017-11-09 14:02:35,,0
81319,18,1,1,107,2017-11-07 00:30:00,,0
5147,26,1,18,266,2017-11-08 11:02:38,,0
5348,24,1,22,105,2017-11-09 03:20:07,,0
280846,14,1,13,439,2017-11-08 14:39:24,,0
81199,12,1,16,140,2017-11-09 07:00:39,,0
71624,21,1,3,128,2017-11-09 14:24:56,,0
119818,1,1,13,150,2017-11-08 07:22:15,,0
29720,1,1,40,17,2017-11-07 10:59:43,,0
112265,21,1,19,128,2017-11-09 05:35:40,,0
5250,13,1,19,477,2017-11-09 12:23:41,,0
163843,3,1,20,442,2017-11-07 02:23:27,,0
4439,11,1,13,122,2017-11-09 08:30:41,,0
119539,12,1,20,328,2017-11-08 13:57:33,,0
122729,11,1,13,219,2017-11-08 17:11:57,,0
66948,2,1,19,237,2017-11-08 06:46:24,,0
119723,21,1,19,128,2017-11-07 04:40:54,,0
85644,14,2,9,118,2017-11-09 11:06:33,,0
155689,12,1,19,481,2017-11-08 04:44:33,,0
106437,12,1,11,259,2017-11-08 06:07:47,,0
111299,2,1,6,477,2017-11-08 08:08:14,,0
110652,3,1,13,489,2017-11-08 18:13:28,,0
84634,3,1,17,424,2017-11-09 03:57:19,,0
121472,18,1,13,107,2017-11-08 13:12:20,,0
96902,3,1,19,280,2017-11-08 12:08:18,,0
64282,9,1,18,334,2017-11-07 07:10:01,,0
175964,8,1,8,140,2017-11-08 00:08:04,,0
7690,2,1,17,258,2017-11-07 02:23:27,,0
125842,1,1,22,120,2017-11-08 10:17:48,,0
26814,15,1,19,386,2017-11-09 06:00:33,,0
26076,9,1,13,244,2017-11-09 08:27:45,,0
66907,9,1,35,489,2017-11-09 02:41:37,,0
117753,12,1,26,205,2017-11-08 07:03:36,,0
93295,2,1,19,236,2017-11-09 01:20:59,,0
42851,3,1,19,480,2017-11-09 08:33:23,,0
96139,3,1,13,280,2017-11-08 02:59:35,,0
119289,3,1,19,424,2017-11-08 06:41:55,,0
113314,2,1,13,237,2017-11-09 06:57:19,,0
125510,15,1,16,245,2017-11-09 02:49:14,,0
1439,11,1,58,481,2017-11-09 05:57:52,,0
185599,2,1,16,122,2017-11-06 16:50:06,,0
85006,3,1,28,280,2017-11-08 11:15:31,,0
100088,12,1,18,259,2017-11-07 03:42:08,,0
105323,2,1,13,205,2017-11-09 06:39:16,,0
80888,3,1,13,280,2017-11-08 13:18:48,,0
204224,12,1,31,178,2017-11-07 04:05:43,,0
33534,2,1,19,122,2017-11-08 09:53:51,,0
18368,11,1,3,173,2017-11-09 04:51:42,,0
84896,9,1,35,466,2017-11-08 09:20:02,,0
7664,9,1,12,215,2017-11-07 09:25:34,,0
53501,12,2,13,178,2017-11-09 06:15:25,,0
93263,2,1,14,205,2017-11-09 05:54:00,,0
155985,3,1,19,442,2017-11-09 05:10:33,,0
77813,20,1,14,259,2017-11-08 13:48:02,,0
95818,26,1,15,266,2017-11-08 12:08:43,,0
166533,3,1,18,280,2017-11-07 02:27:51,,0
15978,15,1,40,315,2017-11-09 02:44:48,,0
74994,2,1,1,435,2017-11-09 10:58:23,,0
73729,21,1,17,232,2017-11-08 00:13:04,,0
5178,9,1,13,334,2017-11-09 08:48:37,,0
55693,13,1,13,477,2017-11-07 23:37:34,,0
32435,12,2,40,259,2017-11-08 10:39:18,,0
108019,26,1,6,121,2017-11-08 08:54:57,,0
24993,14,1,6,379,2017-11-08 00:43:30,,0
48212,9,1,13,232,2017-11-09 13:37:30,,0
104437,3,1,13,205,2017-11-09 03:55:45,,0
69913,9,1,13,466,2017-11-08 08:08:52,,0
14463,12,1,19,265,2017-11-08 05:32:03,,0
2849,14,1,19,442,2017-11-08 03:39:44,,0
40435,9,1,19,466,2017-11-08 05:07:01,,0
80993,13,1,8,477,2017-11-07 07:59:23,,0
179572,3,1,19,19,2017-11-07 00:19:12,,0
122361,21,1,19,128,2017-11-07 04:46:01,,0
280918,2,1,18,205,2017-11-09 03:06:06,,0
23306,15,2,32,113,2017-11-08 16:36:10,,0
344506,12,1,41,328,2017-11-08 23:50:43,,0
23560,15,1,19,245,2017-11-08 12:31:30,,0
98454,9,1,19,215,2017-11-08 12:39:37,,0
96165,12,1,14,259,2017-11-09 13:13:54,,0
15985,15,1,19,386,2017-11-09 03:13:31,,0
112302,18,1,22,449,2017-11-09 08:46:38,,0
19171,18,1,13,107,2017-11-08 12:11:52,,0
29377,8,2,35,259,2017-11-09 12:36:26,,0
88281,14,1,22,442,2017-11-08 23:32:49,,0
75415,64,1,25,459,2017-11-07 04:05:05,,0
98424,3,1,19,371,2017-11-08 00:11:07,,0
97463,3,1,15,424,2017-11-06 23:50:21,,0
32468,3,1,27,489,2017-11-07 09:48:44,,0
79827,15,1,13,140,2017-11-07 01:23:31,,0
78093,11,1,27,469,2017-11-07 09:41:11,,0
58014,9,1,19,334,2017-11-09 03:49:07,,0
173893,20,1,30,259,2017-11-07 13:14:36,,0
7110,24,1,13,105,2017-11-07 02:48:50,,0
105834,9,2,23,215,2017-11-08 22:44:18,,0
19280,23,1,8,153,2017-11-06 18:26:57,,0
208071,18,1,70,107,2017-11-09 13:01:06,,0
66013,23,1,8,153,2017-11-07 21:32:34,,0
37717,12,1,22,265,2017-11-09 03:27:12,,0
15479,3,1,35,489,2017-11-08 09:32:55,,0
14950,12,1,13,178,2017-11-08 04:25:14,,0
105323,15,1,9,245,2017-11-09 06:52:14,,0
125920,21,1,18,128,2017-11-07 09:09:36,,0
38219,20,1,17,259,2017-11-08 15:47:42,,0
76745,2,1,1,212,2017-11-07 23:16:06,,0
97463,20,1,13,259,2017-11-07 12:20:11,,0
34472,64,1,37,459,2017-11-07 12:51:33,,0
123994,7,1,19,101,2017-11-09 15:21:33,,0
88212,28,1,13,135,2017-11-08 15:55:08,,0
61900,9,1,13,334,2017-11-07 03:19:28,,0
49793,12,1,13,205,2017-11-07 11:48:59,,0
344859,15,1,13,3,2017-11-09 15:09:45,,0
5704,15,1,18,140,2017-11-07 00:02:23,,0
78000,3,1,4,205,2017-11-09 10:50:44,,0
7460,3,1,15,489,2017-11-06 23:59:04,,0
17149,14,1,58,446,2017-11-09 14:22:48,,0
105162,14,1,18,379,2017-11-07 17:30:09,,0
353952,26,1,13,477,2017-11-09 05:28:43,,0
187673,18,1,32,107,2017-11-08 14:22:37,,0
8318,11,1,34,219,2017-11-08 13:17:15,,0
23294,20,1,36,259,2017-11-07 01:55:58,,0
120583,3,1,19,211,2017-11-09 03:32:57,,0
44422,10,1,19,377,2017-11-08 00:59:47,,0
43928,12,1,13,328,2017-11-09 00:14:26,,0
59862,27,1,18,122,2017-11-08 00:20:38,,0
32860,9,1,13,466,2017-11-08 18:12:04,,0
41666,12,2,9,178,2017-11-07 09:51:40,,0
92927,26,1,1,121,2017-11-09 12:10:01,,0
23402,12,1,8,259,2017-11-09 05:34:17,,0
75007,3,1,8,137,2017-11-09 06:04:49,,0
55003,23,1,18,153,2017-11-09 05:28:41,,0
25928,12,1,19,265,2017-11-07 08:51:29,,0
118474,14,1,32,123,2017-11-07 08:32:52,,0
52857,3,1,13,280,2017-11-07 12:31:43,,0
72050,3,1,41,280,2017-11-09 06:24:54,,0
37952,58,1,15,120,2017-11-08 02:31:14,,0
30107,26,1,19,477,2017-11-08 13:27:03,,0
231349,2,1,9,364,2017-11-08 13:56:03,,0
80827,18,1,12,107,2017-11-08 06:21:28,,0
153301,2,1,6,317,2017-11-08 09:50:01,,0
29436,3,1,17,280,2017-11-07 04:18:16,,0
10616,9,1,22,215,2017-11-08 00:48:37,,0
35731,15,1,10,245,2017-11-08 01:45:25,,0
187577,8,1,19,145,2017-11-09 04:32:45,,0
101074,6,1,13,459,2017-11-07 09:26:20,,0
3410,15,1,22,430,2017-11-09 01:56:07,,0
99573,3,1,35,205,2017-11-07 05:16:07,,0
200217,3,1,19,379,2017-11-08 01:21:18,,0
79881,12,1,19,481,2017-11-09 14:33:57,,0
209609,1,1,19,124,2017-11-07 15:43:05,,0
119734,14,1,17,134,2017-11-07 01:09:01,,0
121322,9,1,13,334,2017-11-08 00:25:33,,0
8833,3,1,19,409,2017-11-07 09:41:23,,0
46657,3,1,19,280,2017-11-07 03:31:39,,0
63762,15,2,49,3,2017-11-09 04:30:35,,0
12524,9,2,9,442,2017-11-08 15:19:39,,0
38194,12,1,13,178,2017-11-08 01:13:25,,0
59117,3,1,19,280,2017-11-07 06:07:44,,0
58637,14,1,19,349,2017-11-07 03:13:52,,0
114759,11,1,17,325,2017-11-09 09:47:44,,0
40289,9,1,19,244,2017-11-09 07:13:08,,0
52176,13,1,9,477,2017-11-07 23:14:37,,0
67694,3,1,13,280,2017-11-09 03:15:37,,0
149063,15,1,18,245,2017-11-08 06:17:02,,0
31033,2,1,18,401,2017-11-07 06:11:27,,0
69395,23,1,25,153,2017-11-09 10:07:59,,0
114904,3,1,19,135,2017-11-09 13:42:56,,0
67037,2,1,19,237,2017-11-06 21:43:12,,0
294727,27,1,13,122,2017-11-09 01:59:00,,0
93042,15,1,19,430,2017-11-09 07:31:21,,0
36372,2,1,19,243,2017-11-08 15:15:20,,0
5147,18,1,42,107,2017-11-08 03:00:06,,0
44291,12,1,13,205,2017-11-08 00:38:08,,0
263464,15,1,18,140,2017-11-08 01:48:11,,0
63033,11,1,19,469,2017-11-07 03:20:23,,0
43421,2,1,13,219,2017-11-07 00:08:30,,0
110583,18,1,3,107,2017-11-07 10:13:41,,0
109173,1,1,19,377,2017-11-08 16:12:24,,0
5296,9,1,13,258,2017-11-08 05:06:54,,0
54132,9,1,13,466,2017-11-09 15:24:20,,0
122411,8,1,13,145,2017-11-09 12:52:32,,0
95246,3,1,19,130,2017-11-09 13:10:20,,0
85329,21,1,13,232,2017-11-09 10:07:16,,0
34189,2,1,13,122,2017-11-07 06:32:28,,0
129673,15,1,16,245,2017-11-06 18:39:54,,0
108803,3,1,20,280,2017-11-09 05:46:55,,0
39782,23,1,19,153,2017-11-07 15:12:34,,0
73487,12,1,22,328,2017-11-09 02:46:59,,0
42207,94,1,13,361,2017-11-08 02:39:05,,0
106279,18,1,13,107,2017-11-07 00:42:31,,0
5348,3,1,13,280,2017-11-07 13:18:03,,0
59395,2,1,19,477,2017-11-08 05:18:50,,0
333216,2,1,18,469,2017-11-09 09:34:12,,0
19133,8,1,18,140,2017-11-09 07:49:07,,0
67682,2,1,13,477,2017-11-08 17:58:37,,0
97490,27,1,17,122,2017-11-07 23:56:34,,0
85126,3,1,19,280,2017-11-07 03:12:16,,0
265002,2,1,41,237,2017-11-08 03:54:36,,0
73516,12,1,16,178,2017-11-08 11:24:01,,0
95002,3,1,41,137,2017-11-07 01:00:11,,0
114169,14,1,13,134,2017-11-07 05:40:16,,0
73954,9,1,19,134,2017-11-07 18:15:34,,0
123258,2,1,17,236,2017-11-08 02:42:01,,0
32391,11,1,19,173,2017-11-07 14:03:07,,0
1790,15,1,19,412,2017-11-09 07:56:42,,0
83705,9,1,19,442,2017-11-08 15:30:53,,0
5442,3,1,18,480,2017-11-07 23:35:18,,0
122830,15,1,10,245,2017-11-08 11:07:26,,0
39631,26,1,22,477,2017-11-08 10:35:55,,0
163425,12,1,35,265,2017-11-09 08:26:54,,0
97773,3,1,13,480,2017-11-08 23:38:56,,0
77361,23,1,10,153,2017-11-07 15:48:34,,0
175382,3,1,10,442,2017-11-07 01:39:42,,0
109680,28,1,10,135,2017-11-09 10:52:56,,0
59192,2,1,16,477,2017-11-08 07:23:34,,0
208969,64,1,14,459,2017-11-07 13:58:48,,0
81252,9,1,20,127,2017-11-09 15:39:46,,0
93181,29,1,13,343,2017-11-07 09:10:07,,0
